,provincia,cod_provin,canton,cod_canton
0,Puntarenas,6,Corredores,610
1,Puntarenas,6,Golfito,607
2,Puntarenas,6,Coto Brus,608
3,Puntarenas,6,Osa,605
4,Puntarenas,6,Buenos Aires,603
5,San José,1,Pérez Zeledón,119
6,Puntarenas,6,Quepos,606
7,Limón,7,Talamanca,704
8,Puntarenas,6,Parrita,609
9,San José,1,Tarrazú,105
10,San José,1,Dota,117
11,Puntarenas,6,Garabito,611
12,San José,1,León Cortés Castro,120
13,San José,1,Puriscal,104
14,San José,1,Aserrí,106
15,San José,1,Desamparados,103
16,San José,1,Acosta,112
17,San José,1,Turrubares,116
18,Cartago,3,El Guarco,308
19,Cartago,3,Cartago,301
20,Puntarenas,6,Puntarenas,601
21,Cartago,3,Paraíso,302
22,Cartago,3,Jiménez,304
23,Cartago,3,Turrialba,305
24,San José,1,Mora,107
25,Cartago,3,Oreamuno,307
26,San José,1,Alajuelita,110
27,Limón,7,Limón,701
28,Cartago,3,La Unión,303
29,San José,1,Curridabat,118
30,Alajuela,2,Orotina,209
31,San José,1,San José,101
32,San José,1,Escazú,102
33,Cartago,3,Alvarado,306
34,San José,1,Santa Ana,109
35,Guanacaste,5,Nandayure,509
36,San José,1,Montes de Oca,115
37,San José,1,Goicoechea,108
38,San José,1,Tibás,113
39,Alajuela,2,San Mateo,204
40,Guanacaste,5,Nicoya,502
41,Alajuela,2,Atenas,205
42,Alajuela,2,Alajuela,201
43,San José,1,Moravia,114
44,Puntarenas,6,Esparza,602
45,San José,1,Vázquez de Coronado,111
46,Heredia,4,Santo Domingo,403
47,Heredia,4,Belén,407
48,Heredia,4,San Pablo,409
49,Alajuela,2,San Ramón,202
50,Heredia,4,Heredia,401
51,Guanacaste,5,Hojancha,511
52,Heredia,4,Flores,408
53,Heredia,4,San Rafael,405
54,Heredia,4,Barva,402
55,Heredia,4,San Isidro,406
56,Heredia,4,Santa Bárbara,404
57,Alajuela,2,Palmares,207
58,Alajuela,2,Poás,208
59,Alajuela,2,Grecia,203
60,Alajuela,2,Naranjo,206
61,Puntarenas,6,Montes de Oro,604
62,Alajuela,2,Sarchí,212
63,Limón,7,Siquirres,703
64,Limón,7,Matina,705
65,Guanacaste,5,Santa Cruz,503
66,Alajuela,2,Zarcero,211
67,Limón,7,Guácimo,706
68,Guanacaste,5,Abangares,507
69,Limón,7,Pococí,702
70,Alajuela,2,San Carlos,210
71,Guanacaste,5,Cañas,506
72,Guanacaste,5,Tilarán,508
73,Heredia,4,Sarapiquí,410
74,Guanacaste,5,Carrillo,505
75,Alajuela,2,Río Cuarto,216
76,Guanacaste,5,Bagaces,504
77,Alajuela,2,Guatuso,215
78,Alajuela,2,Los Chiles,214
79,Guanacaste,5,Liberia,501
80,Alajuela,2,Upala,213
81,Guanacaste,5,La Cruz,510
