canton,cod_canton,nacimientos,hombres,mujeres
Abangares,507,121,66,55
Acosta,112,76,35,41
Alajuela,201,1664,881,783
Alajuelita,110,377,174,203
Alvarado,306,102,47,55
Aserrí,106,295,159,136
Atenas,205,133,61,72
Bagaces,504,147,70,77
Barva,402,207,105,102
Belén,407,110,47,63
Buenos Aires,603,313,157,156
Cañas,506,143,74,69
Carrillo,505,263,116,147
Cartago,301,773,408,365
Corredores,610,254,133,121
Coto Brus,608,289,140,149
Curridabat,118,335,166,169
Desamparados,103,986,491,495
Dota,117,44,26,18
El Guarco,308,250,124,126
Escazú,102,291,158,133
Esparza,602,190,99,91
Flores,408,89,52,37
Garabito,611,185,90,95
Goicoechea,108,552,297,255
Golfito,607,216,107,109
Grecia,203,331,167,164
Guácimo,706,268,139,129
Guatuso,215,119,69,50
Heredia,401,570,294,276
Hojancha,511,33,17,16
Jiménez,304,79,42,37
La Cruz,510,166,86,80
La Unión,303,449,220,229
León Cortés,120,62,31,31
Liberia,501,461,231,230
Limón,701,613,307,306
Los Chiles,214,278,139,139
Matina,705,298,149,149
Montes de Oca,115,190,103,87
Montes de Oro,604,82,52,30
Mora,107,155,71,84
Moravia,114,208,114,94
Nandayure,509,40,14,26
Naranjo,206,222,114,108
Nicoya,502,349,184,165
Oreamuno,307,224,114,110
Orotina,209,132,65,67
Osa,605,204,98,106
Palmares,207,185,84,101
Paraíso,302,283,155,128
Parrita,609,120,64,56
Pérez Zeledón,119,827,418,409
Poás,208,183,93,90
Pococí,702,825,422,403
Puntarenas,601,762,380,382
Puriscal,104,149,76,73
Quepos,606,183,95,88
Río Cuarto,216,113,52,61
San Carlos,210,1207,618,589
San Isidro,406,74,38,36
San José,101,1665,855,810
San Mateo,204,34,17,17
San Pablo,409,123,55,68
San Rafael,405,210,101,109
San Ramón,202,494,255,239
Santa Ana,109,310,150,160
Santa Bárbara,404,155,90,65
Santa Cruz,503,368,190,178
Santo Domingo,403,179,87,92
Sarapiquí,410,404,218,186
Sarchí,212,81,32,49
Siquirres,703,362,193,169
Talamanca,704,366,179,187
Tarrazú,105,87,40,47
Tibás,113,291,146,145
Tilarán,508,109,59,50
Turrialba,305,469,240,229
Turrubares,116,28,17,11
Upala,213,365,189,176
Vázquez de Coronado,111,293,150,143
Zarcero,211,84,49,35
